Numero_Nota;Valor_Total
000.006.912;32.52
000.006.911;47.26
000.006.913;29.06
000.006.885;50.21
000.006.884;53.8
000.006.882;42.53
000.006.876;52.9
000.006.879;51.8
000.006.878;104.32
000.006.881;99.9
000.006.880;39.9
000.006.877;39.9
000.006.883;64.9
000.006.729;79.8
000.006.869;45.8
000.006.866;28.9
000.006.868;19.9
000.006.870;39.8
000.006.867;39.8
000.006.871;39.9
000.006.872;65.75
000.006.875;59.7
000.006.874;39.9
000.006.873;39.9
000.006.748;122.63
000.006.751;65.75
000.006.749;39.9
000.006.752;42.97
000.006.750;37.15
000.006.747;26.9
000.006.727;39.9
000.006.726;41.47
000.006.728;49.8
000.006.863;53.7
000.006.852;19.9
000.006.851;29.9
000.006.856;193.13
000.006.849;24.9
000.006.853;35.13
000.006.855;53.8
000.006.862;39.9
000.006.858;39.9
000.006.861;24.9
000.006.850;64.7
000.006.857;20.32
000.006.865;38.06
000.006.864;99.9
000.006.860;253.71
000.006.859;61.8
000.006.854;39.9
000.006.740;39.9
000.006.734;83.68
000.006.738;26.9
000.006.735;39.9
000.006.737;36.9
000.006.731;25.9
000.006.732;24.9
000.006.736;81.58
000.006.739;29.9
000.006.733;109.9
000.006.730;163.47
000.006.743;44.8
000.006.742;51.8
000.006.741;19.9
000.006.745;26.9
000.006.746;26.32
000.006.744;29.33
000.006.838;44.95
000.006.837;41.47
000.006.756;24.9
000.006.770;39.9
000.006.761;44.9
000.006.762;24.9
000.006.773;16.9
000.006.763;39.9
000.006.768;39.9
000.006.755;29.9
000.006.765;34.84
000.006.775;39.9
000.006.766;39.9
000.006.757;19.9
000.006.769;19.9
000.006.753;16.9
000.006.767;39.9
000.006.759;41.47
000.006.764;8.57
000.006.758;56.78
000.006.774;39.8
000.006.772;62.33
000.006.754;46.8
000.006.771;53.8
000.006.903;39.9
000.000.895;38.9
000.000.894;119.9
000.000.896;149.9
000.000.899;19.9
000.000.897;38.9
000.000.898;129.9
000.000.904;38.9
000.000.908;19.9
000.000.905;19.9
000.000.903;52.9
000.000.902;38.9
000.000.907;272.3
000.000.900;149.9
000.000.901;38.9
000.000.906;155.6
000.000.930;52.9
000.000.929;141.9
000.000.924;52.9
000.000.917;283.8
000.000.923;44.9
000.000.921;425.7
000.000.926;52.9
000.000.927;38.9
000.000.920;58.9
000.000.928;141.9
000.000.922;20.0
000.000.918;38.9
000.000.925;38.9
000.000.919;38.9
000.000.911;199.0
000.000.916;529.0
000.000.914;149.9
000.000.915;52.9
000.000.909;101.8
000.000.913;149.9
000.000.910;149.9
000.000.912;149.9
000.000.931;101.8
000.000.932;141.9
000.000.934;52.9
000.000.933;19.9
000.000.935;28.9
000.000.937;38.9
000.000.949;74.9
000.000.950;141.9
000.000.936;101.8
000.000.942;24.9
000.000.943;141.9
000.000.940;141.9
000.000.948;101.8
000.000.939;156.0
000.000.938;202.8
000.000.947;272.3
000.000.941;99.6
000.000.946;38.9
000.000.945;101.8
000.000.944;149.9
000.000.952;141.9
000.000.953;141.9
000.000.951;199.9
000.000.954;89.9
000.000.956;38.9
000.000.962;101.8
000.000.961;101.8
000.000.960;101.8
000.000.959;101.8
000.000.958;101.8
000.000.957;19.9
000.000.955;38.9
000.000.964;189.6
000.000.963;101.8
000.000.968;458.7
000.000.967;476.1
000.000.966;152.9
000.000.965;38.9
000.006.846;62.43
000.006.840;39.9
000.006.842;40.44
000.006.847;39.9
000.006.843;38.52
000.006.841;39.9
000.006.839;41.47
000.006.845;29.31
000.006.848;39.9
000.006.844;20.32
000.006.906;39.9
000.006.905;39.9
000.006.908;33.69
000.006.909;44.8
000.006.907;59.8
000.006.910;49.9
000.006.721;78.0
000.006.724;39.9
000.006.725;32.9
000.006.722;59.9
000.006.723;70.32
000.006.792;39.9
000.006.793;27.32
000.006.780;19.9
000.006.790;119.7
000.006.794;49.03
000.006.787;51.95
000.006.776;52.43
000.006.779;39.9
000.006.789;33.47
000.006.783;39.8
000.006.786;29.06
000.006.797;34.89
000.006.781;69.9
000.006.796;39.9
000.006.795;41.47
000.006.798;19.9
000.006.785;38.37
000.006.788;52.9
000.006.778;29.9
000.006.782;29.9
000.006.777;39.8
000.006.784;39.9
000.006.826;39.9
000.006.805;25.9
000.006.807;49.9
000.006.817;39.9
000.006.816;99.9
000.006.808;64.9
000.006.802;39.9
000.006.811;31.69
000.006.815;64.9
000.006.803;19.9
000.006.830;39.9
000.006.801;39.0
000.006.813;39.9
000.006.827;42.63
000.006.819;32.53
000.006.810;53.7
000.006.818;39.9
000.006.824;62.06
000.006.800;39.9
000.006.820;69.9
000.006.806;39.9
000.006.823;39.9
000.006.799;59.8
000.006.825;39.8
000.006.814;31.9
000.006.821;39.9
000.006.809;46.1
000.006.828;15.16
000.006.822;39.8
000.006.812;34.54
000.006.829;79.6
000.006.804;39.9
000.006.832;39.9
000.006.831;48.46
000.006.833;39.9
000.006.836;39.9
000.006.835;48.8
000.006.834;41.47
000.006.897;39.9
000.006.889;39.9
000.006.893;39.9
000.006.895;39.9
000.006.904;39.9
000.006.890;39.9
000.006.900;19.9
000.006.894;119.7
000.006.888;39.9
000.006.898;19.9
000.006.887;21.47
000.006.901;39.9
000.006.896;39.8
000.006.886;39.9
000.006.891;39.9
000.006.899;79.8
000.006.902;31.37
000.000.954;89.9
000.006.882;42.53
000.006.876;52.9
000.006.879;51.8
000.006.878;104.32
000.006.881;99.9
000.006.880;39.9
000.006.877;39.9
000.006.883;64.9
